Ticker,Year,Actual,Forecast
ABI BB,2025,1,100
ABI BB,2024,0.82,82
ABI BB,2023,0.75,75
ABI BB,2022,0.5,50
ABI BB,2021,0.5,50
ABI BB,2020,0.5,50
ABI BB,2019,1.8,180
ABI BB,2018,2.8,280
ABI BB,2017,3.6,360
ABI BB,2016,3.6,360
ABI BB,2015,3.6,360
ABI BB,2014,2.45,245
ABI BB,2013,2.3,230
ABI BB,2011,0.8,80
ABI BB,2010,0.38,38
ABI BB,2009,0.28,28
ABI BB,2008,2.44,244
ABI BB,2007,0.72,72
ABI BB,2006,0.48,48
AD NA,2025,0.67,67
AD NA,2024,1.11,111
AD NA,2023,1.08,108
AD NA,2022,0.98,98
AD NA,2021,0.83,83
AD NA,2020,0.96,96
AD NA,2019,1,100
AD NA,2018,0.63,63
AD NA,2017,0.57,57
AD NA,2016,1.81,181
AD NA,2015,0.48,48
AD NA,2014,1.5223,152.23
AD NA,2013,0.44,44
AD NA,2011,0.29,29
AD NA,2010,0.23,23
AD NA,2009,0.18,18
AD NA,2008,0.16,16
AD NA,2007,0,0
AD NA,2006,0,0
ADS GY,2025,2,200
ADS GY,2024,0.7,70
ADS GY,2023,0.7,70
ADS GY,2022,3.3,330
ADS GY,2021,3,300
ADS GY,2019,3.35,335
ADS GY,2018,2.6,260
ADS GY,2017,2,200
ADS GY,2016,1.6,160
ADS GY,2015,1.5,150
ADS GY,2014,1.5,150
ADS GY,2013,1.35,135
ADS GY,2010,0.8,80
ADS GY,2009,0.35,35
ADS GY,2008,0.5,50
ADS GY,2007,0.5,50
ADS GY,2006,0.42,42
AI FP,2025,3.3,330
AI FP,2024,3.2,320
AI FP,2023,2.95,295
AI FP,2022,2.9,290
AI FP,2021,2.75,275
AI FP,2020,2.7,270
AI FP,2019,2.65,265
AI FP,2018,2.65,265
AI FP,2017,2.6,260
AI FP,2016,2.6,260
AI FP,2015,2.55,255
AI FP,2014,2.55,255
AI FP,2013,2.5,250
AI FP,2011,2.13,213
AI FP,2010,1.91,191
AI FP,2009,1.91,191
AI FP,2008,1.73,173
AI FP,2007,1.54,154
AI FP,2006,1.34,134
AIR FP,2025,3,300
AIR FP,2024,2.8,280
AIR FP,2023,1.8,180
AIR FP,2022,1.5,150
AIR FP,2019,1.65,165
AIR FP,2018,1.5,150
AIR FP,2017,1.35,135
AIR FP,2016,1.3,130
AIR FP,2015,1.2,120
AIR FP,2014,0.75,75
AIR FP,2013,0.6,60
AIR FP,2011,0.22,22
AIR FP,2010,0,0
AIR FP,2009,0.2,20
AIR FP,2008,0.12,12
AIR FP,2007,0.12,12
AIR FP,2006,0.65,65
ALV GY,2025,15.4,1540
ALV GY,2024,13.8,1380
ALV GY,2023,11.4,1140
ALV GY,2022,10.8,1080
ALV GY,2021,9.6,960
ALV GY,2020,9.6,960
ALV GY,2019,9,900
ALV GY,2018,8,800
ALV GY,2017,7.6,760
ALV GY,2016,7.3,730
ALV GY,2015,6.85,685
ALV GY,2014,5.3,530
ALV GY,2013,4.5,450
ALV GY,2011,4.5,450
ALV GY,2009,4.1,410
ALV GY,2008,3.5,350
ALV GY,2007,5.5,550
ALV GY,2006,3.8,380
ASML NA,2025,3.36,336
ASML NA,2024,6.24,624
ASML NA,2023,5.96,596
ASML NA,2022,6.44,644
ASML NA,2021,3.35,335
ASML NA,2020,2.55,255
ASML NA,2019,3.15,315
ASML NA,2018,1.4,140
ASML NA,2017,1.2,120
ASML NA,2016,1.05,105
ASML NA,2015,0.7,70
ASML NA,2014,0.61,61
ASML NA,2013,0.53,53
ASML NA,2011,0.4,40
ASML NA,2010,0.2,20
ASML NA,2009,0.2,20
ASML NA,2008,0.25,25
BAS GY,2025,2.25,225
BAS GY,2024,3.4,340
BAS GY,2023,3.4,340
BAS GY,2022,3.4,340
BAS GY,2021,3.3,330
BAS GY,2020,3.3,330
BAS GY,2019,3.2,320
BAS GY,2018,3.1,310
BAS GY,2017,3,300
BAS GY,2016,2.9,290
BAS GY,2015,2.8,280
BAS GY,2014,2.7,270
BAS GY,2013,2.6,260
BAS GY,2011,2.2,220
BAS GY,2009,1.7,170
BAS GY,2008,1.95,195
BAS GY,2007,1.95,195
BAS GY,2006,1.5,150
BAYN GY,2025,0.11,11
BAYN GY,2024,0.11,11
BAYN GY,2023,2.4,240
BAYN GY,2022,2,200
BAYN GY,2021,2,200
BAYN GY,2020,2.8,280
BAYN GY,2019,2.8,280
BAYN GY,2018,2.8,280
BAYN GY,2017,2.7,270
BAYN GY,2016,2.5,250
BAYN GY,2015,2.25,225
BAYN GY,2014,2.1,210
BAYN GY,2013,1.9,190
BAYN GY,2011,1.5,150
BAYN GY,2009,1.4,140
BAYN GY,2008,1.4,140
BAYN GY,2007,1.35,135
BAYN GY,2006,1,100
BBVA SQ,2025,0.41,41
BBVA SQ,2024,0.68,68
BBVA SQ,2023,0.47,47
BBVA SQ,2022,0.35,35
BBVA SQ,2021,0.139,13.9
BBVA SQ,2020,0.16,16
BBVA SQ,2019,0.26,26
BBVA SQ,2018,0.25,25
BBVA SQ,2017,0.301,30.1
BBVA SQ,2016,0.369,36.9
BBVA SQ,2015,0.37,37
BBVA SQ,2014,0.328,32.8
BBVA SQ,2013,0.42,42
BBVA SQ,2012,0.199,19.9
BBVA SQ,2011,0.439,43.9
BBVA SQ,2010,0.18,18
BBVA SQ,2009,0.42,42
BBVA SQ,2008,0.614,61.4
BBVA SQ,2007,0.733,73.3
BBVA SQ,2006,0.631,63.1
BMW GY,2025,4.3,430
BMW GY,2024,6,600
BMW GY,2023,8.5,850
BMW GY,2022,5.8,580
BMW GY,2021,1.9,190
BMW GY,2020,2.5,250
BMW GY,2019,3.5,350
BMW GY,2018,4,400
BMW GY,2017,3.5,350
BMW GY,2016,3.2,320
BMW GY,2015,2.9,290
BMW GY,2014,2.6,260
BMW GY,2013,2.5,250
BMW GY,2011,1.3,130
BMW GY,2010,0.3,30
BMW GY,2008,0.3,30
BMW GY,2007,1.06,106
BMW GY,2006,0.7,70
BN FP,2025,2.15,215
BN FP,2024,2.1,210
BN FP,2023,2,200
BN FP,2022,1.94,194
BN FP,2021,1.94,194
BN FP,2020,2.1,210
BN FP,2019,1.94,194
BN FP,2018,1.9,190
BN FP,2017,1.7,170
BN FP,2016,1.6,160
BN FP,2015,1.5,150
BN FP,2014,1.45,145
BN FP,2013,1.45,145
BN FP,2011,1.3,130
BN FP,2010,1.2,120
BN FP,2009,1.2,120
BN FP,2008,1.1,110
BN FP,2007,1,100
BN FP,2006,0.85,85
BNP FP,2025,4.79,479
BNP FP,2024,4.6,460
BNP FP,2023,3.9,390
BNP FP,2022,3.67,367
BNP FP,2021,2.66,266
BNP FP,2019,3.02,302
BNP FP,2018,3.02,302
BNP FP,2017,2.7,270
BNP FP,2016,2.31,231
BNP FP,2015,1.5,150
BNP FP,2014,1.5,150
BNP FP,2013,1.5,150
BNP FP,2011,2.1,210
BNP FP,2010,1.5,150
BNP FP,2009,0.97,97
BNP FP,2008,3.26,326
BNP FP,2007,3.01,301
BNP FP,2006,2.53,253
CS FP,2025,2.15,215
CS FP,2024,1.98,198
CS FP,2023,1.7,170
CS FP,2022,1.54,154
CS FP,2021,1.43,143
CS FP,2020,0.73,73
CS FP,2019,1.34,134
CS FP,2018,1.26,126
CS FP,2017,1.16,116
CS FP,2016,1.1,110
CS FP,2015,0.95,95
CS FP,2014,0.81,81
CS FP,2013,0.72,72
CS FP,2011,0.69,69
CS FP,2010,0.55,55
CS FP,2009,0.4,40
CS FP,2008,1.2,120
CS FP,2007,1.06,106
CS FP,2006,0.88,88
DB1 GY,2025,4,400
DB1 GY,2024,3.8,380
DB1 GY,2023,3.6,360
DB1 GY,2022,3.2,320
DB1 GY,2021,3,300
DB1 GY,2020,2.9,290
DB1 GY,2019,2.7,270
DB1 GY,2018,2.45,245
DB1 GY,2017,2.35,235
DB1 GY,2016,2.25,225
DB1 GY,2015,2.1,210
DB1 GY,2014,2.1,210
DB1 GY,2013,2.1,210
DB1 GY,2011,2.1,210
DB1 GY,2010,2.1,210
DB1 GY,2008,2.1,210
DB1 GY,2007,2.1,210
DB1 GY,2006,1.7,170
DG FP,2025,3.7,370
DG FP,2024,4.5,450
DG FP,2023,4.05,405
DG FP,2022,3.25,325
DG FP,2021,2.69,269
DG FP,2020,1.25,125
DG FP,2019,2.71,271
DG FP,2018,2.51,251
DG FP,2017,2.16,216
DG FP,2016,1.9,190
DG FP,2015,1.79,179
DG FP,2014,2.22,222
DG FP,2013,1.77,177
DG FP,2012,0.55,55
DG FP,2011,1.7,170
DG FP,2010,0.52,52
DG FP,2009,1.62,162
DG FP,2008,1.62,162
DG FP,2007,1.52,152
DG FP,2006,0,0
DHL GY,2025,1.85,185
DHL GY,2024,1.85,185
DHL GY,2023,1.85,185
DHL GY,2022,1.8,180
DHL GY,2021,1.35,135
DHL GY,2020,1.15,115
DHL GY,2019,1.15,115
DHL GY,2018,1.15,115
DHL GY,2017,1.05,105
DHL GY,2016,0.85,85
DHL GY,2015,0.85,85
DHL GY,2014,0.8,80
DHL GY,2013,0.7,70
DHL GY,2011,0.65,65
DHL GY,2010,0.6,60
DHL GY,2008,0.6,60
DHL GY,2007,0.9,90
DHL GY,2006,0.75,75
DTE GY,2025,0.9,90
DTE GY,2024,0.77,77
DTE GY,2023,0.7,70
DTE GY,2022,0.64,64
DTE GY,2021,0.6,60
DTE GY,2020,0.6,60
DTE GY,2019,0.7,70
DTE GY,2018,0.65,65
DTE GY,2017,0.6,60
DTE GY,2016,0.55,55
DTE GY,2015,0.5,50
DTE GY,2014,0.5,50
DTE GY,2013,0.7,70
DTE GY,2011,0.7,70
DTE GY,2010,0.78,78
DTE GY,2009,0,0
DTE GY,2008,0.78,78
DTE GY,2007,0.78,78
DTE GY,2006,0.72,72
EL FP,2025,3.95,395
EL FP,2024,3.95,395
EL FP,2023,3.23,323
EL FP,2022,2.51,251
EL FP,2021,1.08,108
EL FP,2020,1.15,115
EL FP,2019,2.04,204
EL FP,2018,1.53,153
EL FP,2017,1.5,150
EL FP,2016,1.11,111
EL FP,2015,1.02,102
EL FP,2014,0.94,94
EL FP,2013,0.88,88
EL FP,2011,0.83,83
EL FP,2010,0.7,70
EL FP,2009,0.66,66
EL FP,2008,0.62,62
EL FP,2007,0.55,55
EL FP,2006,0.94,94
ENEL IM,2025,0.47,47
ENEL IM,2024,0.43,43
ENEL IM,2023,0.4,40
ENEL IM,2022,0.38,38
ENEL IM,2021,0.358,35.8
ENEL IM,2020,0.328,32.8
ENEL IM,2019,0.28,28
ENEL IM,2018,0.237,23.7
ENEL IM,2017,0.18,18
ENEL IM,2016,0.16,16
ENEL IM,2015,0.14,14
ENEL IM,2014,0.13,13
ENEL IM,2013,0.15,15
ENEL IM,2011,0.28,28
ENEL IM,2010,0.35,35
ENEL IM,2009,0.49,49
ENEL IM,2008,0.49,49
ENEL IM,2007,0.49,49
ENEL IM,2006,0.63,63
ENI IM,2025,0.5,50
ENI IM,2024,0.97,97
ENI IM,2023,0.91,91
ENI IM,2022,0.87,87
ENI IM,2021,0.67,67
ENI IM,2020,0.55,55
ENI IM,2019,0.84,84
ENI IM,2018,0.82,82
ENI IM,2017,0.8,80
ENI IM,2016,0.8,80
ENI IM,2015,0.96,96
ENI IM,2014,1.11,111
ENI IM,2013,1.09,109
ENI IM,2012,0.54,54
ENI IM,2011,1.02,102
ENI IM,2010,1,100
ENI IM,2009,1.8,180
ENI IM,2008,1.3,130
ENI IM,2007,1.25,125
ENI IM,2006,1.1,110
IBE SQ,2025,0.645,64.5
IBE SQ,2024,0.558,55.8
IBE SQ,2023,0.501,50.1
IBE SQ,2022,0.449,44.9
IBE SQ,2021,0.422,42.2
IBE SQ,2020,0.4,40
IBE SQ,2019,0.351,35.1
IBE SQ,2018,0.326,32.6
IBE SQ,2017,0.312,31.2
IBE SQ,2016,0.281,28.1
IBE SQ,2015,0.144,14.4
IBE SQ,2014,0.397,39.7
IBE SQ,2013,0.173,17.3
IBE SQ,2012,0.03,3
IBE SQ,2011,0.03,3
IBE SQ,2010,0.48,48
IBE SQ,2009,0.327,32.7
IBE SQ,2008,0.271,27.1
IBE SQ,2007,0.2605,26.05
IBE SQ,2006,0.24,24
IFX GY,2025,0.35,35
IFX GY,2024,0.35,35
IFX GY,2023,0.32,32
IFX GY,2022,0.27,27
IFX GY,2021,0.22,22
IFX GY,2020,0.27,27
IFX GY,2019,0.27,27
IFX GY,2018,0.25,25
IFX GY,2017,0.22,22
IFX GY,2016,0.2,20
IFX GY,2015,0.18,18
IFX GY,2014,0.12,12
IFX GY,2013,0.12,12
IFX GY,2011,0.1,10
IFX GY,2009,0,0
IFX GY,2008,0,0
IFX GY,2007,0,0
IFX GY,2006,0,0
INGA NA,2025,0.871,87.1
INGA NA,2024,1.106,110.6
INGA NA,2023,0.821,82.1
INGA NA,2022,0.812,81.2
INGA NA,2021,0.6,60
INGA NA,2019,0.68,68
INGA NA,2018,0.67,67
INGA NA,2017,0.66,66
INGA NA,2016,0.65,65
INGA NA,2015,0.36,36
INGA NA,2012,0,0
INGA NA,2011,0,0
INGA NA,2009,0,0
INGA NA,2008,1.56,156
INGA NA,2007,1.39,139
INGA NA,2006,1.23,123
ISP IM,2025,0.171,17.1
ISP IM,2024,0.322,32.2
ISP IM,2023,0.2308,23.08
ISP IM,2022,0.1527,15.27
ISP IM,2021,0.2074,20.74
ISP IM,2019,0.197,19.7
ISP IM,2018,0.203,20.3
ISP IM,2017,0.178,17.8
ISP IM,2016,0.14,14
ISP IM,2015,0.07,7
ISP IM,2014,0.05,5
ISP IM,2013,0.05,5
ISP IM,2011,0.08,8
ISP IM,2010,0.08,8
ISP IM,2009,0,0
ISP IM,2008,0.38,38
ISP IM,2007,0.38,38
ISP IM,2006,0.22,22
ITX SQ,2025,0.84,84
ITX SQ,2024,1.54,154
ITX SQ,2023,1.2,120
ITX SQ,2022,0.93,93
ITX SQ,2021,0.7,70
ITX SQ,2020,0.35,35
ITX SQ,2019,0.88,88
ITX SQ,2018,0.75,75
ITX SQ,2017,0.68,68
ITX SQ,2016,0.6,60
ITX SQ,2015,0.52,52
ITX SQ,2014,0.484,48.4
ITX SQ,2013,0.44,44
MBG GY,2025,4.3,430
MBG GY,2024,5.3,530
MBG GY,2023,5.2,520
MBG GY,2022,5,500
MBG GY,2021,1.35,135
MBG GY,2020,0.9,90
MBG GY,2019,3.25,325
MBG GY,2018,3.65,365
MBG GY,2017,3.25,325
MBG GY,2016,3.25,325
MBG GY,2015,2.45,245
MBG GY,2014,2.25,225
MBG GY,2013,2.2,220
MBG GY,2011,1.85,185
MBG GY,2009,0.6,60
MBG GY,2008,2,200
MBG GY,2007,1.5,150
MBG GY,2006,1.5,150
MC FP,2025,7.5,750
MC FP,2024,13,1300
MC FP,2023,12.5,1250
MC FP,2022,12,1200
MC FP,2021,7,700
MC FP,2020,4.6,460
MC FP,2019,6.2,620
MC FP,2018,5.4,540
MC FP,2017,4.2,420
MC FP,2016,3.6,360
MC FP,2015,3.3,330
MC FP,2014,3.15,315
MC FP,2013,3,300
MC FP,2012,1.1,110
MC FP,2011,2.2,220
MC FP,2010,0.7,70
MUV2 GY,2025,20,2000
MUV2 GY,2024,15,1500
MUV2 GY,2023,11.6,1160
MUV2 GY,2022,11,1100
MUV2 GY,2021,9.8,980
MUV2 GY,2020,9.8,980
MUV2 GY,2019,9.25,925
MUV2 GY,2018,8.6,860
MUV2 GY,2017,8.6,860
MUV2 GY,2016,8.25,825
MUV2 GY,2015,7.75,775
MUV2 GY,2014,7.25,725
MUV2 GY,2013,7,700
MUV2 GY,2011,6.25,625
MUV2 GY,2009,5.75,575
MUV2 GY,2008,5.5,550
MUV2 GY,2007,5.5,550
MUV2 GY,2006,4.5,450
NDA FH,2025,0.94,94
NDA FH,2024,0.92,92
NDA FH,2023,0.8,80
NDA FH,2022,0.69,69
NDA FH,2021,0.79,79
NDA FH,2019,0.69,69
NOKIA FH,2025,0.07,7
NOKIA FH,2024,0.13,13
NOKIA FH,2023,0.11,11
NOKIA FH,2022,0.06,6
NOKIA FH,2019,0.1,10
NOKIA FH,2018,0.19,19
NOKIA FH,2017,0.17,17
NOKIA FH,2016,0.41,41
NOKIA FH,2015,0.14,14
NOKIA FH,2014,0.37,37
NOKIA FH,2013,0,0
NOKIA FH,2011,0.4,40
NOKIA FH,2010,0.4,40
NOKIA FH,2009,0.4,40
NOKIA FH,2008,0.53,53
NOKIA FH,2007,0.43,43
NOKIA FH,2006,0.37,37
OR FP,2025,7,700
OR FP,2024,6.6,660
OR FP,2023,6,600
OR FP,2022,4.8,480
OR FP,2021,4,400
OR FP,2020,3.85,385
OR FP,2019,3.85,385
OR FP,2018,3.55,355
OR FP,2017,3.3,330
OR FP,2016,3.1,310
OR FP,2015,2.7,270
OR FP,2014,2.5,250
OR FP,2013,2.3,230
OR FP,2011,1.8,180
OR FP,2010,1.5,150
OR FP,2009,1.44,144
OR FP,2008,1.38,138
OR FP,2007,1.18,118
OR FP,2006,1,100
PRX NA,2024,0.1,10
PRX NA,2023,0.07,7
PRX NA,2022,0.14,14
PRX NA,2021,0.14,14
PRX NA,2020,0.11,11
RACE IM,2025,2.986,298.6
RACE IM,2024,2.443,244.3
RACE IM,2023,1.81,181
RACE IM,2022,1.362,136.2
RACE IM,2021,0.867,86.7
RACE IM,2020,1.13,113
RACE IM,2019,1.03,103
RACE IM,2018,0.71,71
RACE IM,2017,0.635,63.5
RACE IM,2016,0.46,46
RHM GY,2025,8.1,810
RHM GY,2024,5.7,570
RHM GY,2023,4.3,430
RHM GY,2022,3.3,330
RHM GY,2021,2,200
RHM GY,2020,2.4,240
RHM GY,2019,2.1,210
RHM GY,2018,1.7,170
RHM GY,2017,1.45,145
RHM GY,2016,1.1,110
RHM GY,2015,0.3,30
RHM GY,2014,0.4,40
RHM GY,2013,1.8,180
RI FP,2025,2.35,235
RI FP,2024,4.7,470
RI FP,2023,4.7,470
RI FP,2022,4.12,412
RI FP,2021,3.12,312
RI FP,2020,2.66,266
RI FP,2019,3.12,312
RI FP,2018,2.36,236
RI FP,2017,2.02,202
RI FP,2016,1.88,188
RI FP,2015,1.8,180
RI FP,2014,1.64,164
RI FP,2013,1.64,164
RI FP,2012,1.58,158
RI FP,2011,1.44,144
RI FP,2010,1.34,134
RI FP,2009,0.5,50
RI FP,2008,1.32,132
RI FP,2007,2.52,252
RI FP,2006,2.1,210
RMS FP,2025,26,2600
RMS FP,2024,25,2500
RMS FP,2023,13,1300
RMS FP,2022,8,800
RMS FP,2021,4.55,455
RMS FP,2020,4.55,455
RMS FP,2019,4.55,455
RMS FP,2018,9.1,910
RMS FP,2017,3.75,375
RMS FP,2016,3.35,335
RMS FP,2015,7.95,795
RMS FP,2014,2.7,270
RMS FP,2013,2.5,250
RMS FP,2012,5,500
RMS FP,2011,1.5,150
RMS FP,2010,1.05,105
RMS FP,2009,1.03,103
RMS FP,2008,1,100
RMS FP,2007,0.95,95
RMS FP,2006,0.8333,83.33
SAF FP,2025,2.9,290
SAF FP,2024,2.2,220
SAF FP,2023,1.35,135
SAF FP,2022,0.5,50
SAF FP,2021,0.43,43
SAF FP,2019,1.82,182
SAF FP,2018,1.6,160
SAF FP,2017,0.83,83
SAF FP,2016,1.47,147
SAF FP,2015,1.24,124
SAF FP,2014,1.2,120
SAF FP,2013,1.13,113
SAF FP,2012,0.31,31
SAF FP,2011,0.75,75
SAF FP,2010,0.38,38
SAF FP,2009,0.25,25
SAF FP,2008,0.4,40
SAF FP,2007,0.22,22
SAF FP,2006,0.36,36
SAN FP,2025,3.92,392
SAN FP,2024,3.76,376
SAN FP,2023,3.56,356
SAN FP,2022,3.33,333
SAN FP,2021,3.2,320
SAN FP,2020,3.15,315
SAN FP,2019,3.07,307
SAN FP,2018,3.03,303
SAN FP,2017,2.96,296
SAN FP,2016,2.93,293
SAN FP,2015,2.85,285
SAN FP,2014,2.8,280
SAN FP,2013,2.77,277
SAN FP,2011,2.5,250
SAN FP,2010,2.4,240
SAN FP,2009,2.2,220
SAN FP,2008,2.07,207
SAN FP,2007,1.75,175
SAN FP,2006,1.52,152
SAN SQ,2025,0.11,11
SAN SQ,2024,0.195,19.5
SAN SQ,2023,0.1405,14.05
SAN SQ,2022,0.1098,10.98
SAN SQ,2021,0.076,7.6
SAN SQ,2019,0.23,23
SAN SQ,2018,0.22,22
SAN SQ,2017,0.21,21
SAN SQ,2016,0.2,20
SAN SQ,2015,0.397,39.7
SAN SQ,2014,0.604,60.4
SAN SQ,2013,0.605,60.5
SAN SQ,2012,0.641,64.1
SAN SQ,2011,0.607,60.7
SAN SQ,2010,0.8541,85.41
SAN SQ,2009,0.65078,65.078
SAN SQ,2008,0.65078,65.078
SAN SQ,2007,0.52063,52.063
SAP GY,2025,2.35,235
SAP GY,2024,2.2,220
SAP GY,2023,2.05,205
SAP GY,2022,2.45,245
SAP GY,2021,1.85,185
SAP GY,2020,1.58,158
SAP GY,2019,1.5,150
SAP GY,2018,1.4,140
SAP GY,2017,1.25,125
SAP GY,2016,1.15,115
SAP GY,2015,1.1,110
SAP GY,2014,1,100
SAP GY,2013,0.85,85
SAP GY,2011,0.6,60
SAP GY,2010,0.5,50
SAP GY,2008,0.5,50
SAP GY,2007,0.5,50
SAP GY,2006,0.46,46
SGO FP,2025,2.2,220
SGO FP,2024,2.1,210
SGO FP,2023,2,200
SGO FP,2022,1.63,163
SGO FP,2021,1.33,133
SGO FP,2019,1.33,133
SGO FP,2018,1.3,130
SGO FP,2017,1.26,126
SGO FP,2016,1.24,124
SGO FP,2015,1.24,124
SGO FP,2014,1.24,124
SGO FP,2013,1.24,124
SGO FP,2011,1.15,115
SGO FP,2010,1,100
SGO FP,2009,1,100
SGO FP,2008,2.05,205
SGO FP,2007,1.7,170
SGO FP,2006,1.36,136
SIE GY,2025,5.2,520
SIE GY,2024,4.7,470
SIE GY,2023,4.25,425
SIE GY,2022,4,400
SIE GY,2021,3.5,350
SIE GY,2020,3.9,390
SIE GY,2019,3.8,380
SIE GY,2018,3.7,370
SIE GY,2017,3.6,360
SIE GY,2016,3.5,350
SIE GY,2015,3.3,330
SIE GY,2014,3,300
SIE GY,2013,3,300
SIE GY,2011,2.7,270
SIE GY,2010,1.6,160
SIE GY,2009,1.6,160
SIE GY,2008,1.6,160
SIE GY,2007,1.45,145
SIE GY,2006,1.35,135
STLAM IM,2025,0.68,68
STLAM IM,2024,1.55,155
STLAM IM,2023,1.34,134
STLAM IM,2022,1.04,104
STLAM IM,2021,2.2567,225.67
STLAM IM,2019,1.95,195
STLAM IM,2016,0.0109,1.09
SU FP,2025,3.9,390
SU FP,2024,3.5,350
SU FP,2023,3.15,315
SU FP,2022,2.9,290
SU FP,2021,2.6,260
SU FP,2020,2.55,255
SU FP,2019,2.35,235
SU FP,2018,2.2,220
SU FP,2017,2.04,204
SU FP,2016,2,200
SU FP,2015,1.92,192
SU FP,2014,1.87,187
SU FP,2013,1.87,187
SU FP,2011,1.6,160
SU FP,2010,1.025,102.5
SU FP,2009,1.725,172.5
SU FP,2008,1.65,165
SU FP,2007,1.5,150
SU FP,2006,1.125,112.5
TTE FP,2025,2.43,243
TTE FP,2024,3.06,306
TTE FP,2023,2.86,286
TTE FP,2022,3.67,367
TTE FP,2021,2.64,264
TTE FP,2020,2.68,268
TTE FP,2019,2.58,258
TTE FP,2018,2.5,250
TTE FP,2017,2.46,246
TTE FP,2016,2.44,244
TTE FP,2015,1.83,183
TTE FP,2014,2.42,242
TTE FP,2013,2.36,236
TTE FP,2012,1.16,116
TTE FP,2011,2.28,228
TTE FP,2010,3.42,342
TTE FP,2009,2.28,228
TTE FP,2008,2.07,207
TTE FP,2007,1.87,187
UCG IM,2025,1.4764,147.64
UCG IM,2024,2.7261,272.61
UCG IM,2023,0.9872,98.72
UCG IM,2022,0.538,53.8
UCG IM,2021,0.12,12
UCG IM,2019,0.27,27
UCG IM,2018,0.32,32
UCG IM,2016,0.12,12
UCG IM,2015,0.12,12
UCG IM,2014,0.1,10
UCG IM,2013,0.09,9
UCG IM,2009,0,0
UCG IM,2008,0,0
UCG IM,2007,0,0
UCG IM,2006,0,0
VOW3 GY,2025,6.36,636
VOW3 GY,2024,9.06,906
VOW3 GY,2023,27.82,2782
VOW3 GY,2022,7.56,756
VOW3 GY,2021,4.86,486
VOW3 GY,2020,4.86,486
VOW3 GY,2019,4.86,486
VOW3 GY,2018,3.96,396
VOW3 GY,2017,2.06,206
VOW3 GY,2016,0.17,17
VOW3 GY,2015,4.86,486
VOW3 GY,2014,4.06,406
VOW3 GY,2013,3.56,356
VOW3 GY,2011,2.26,226
VOW3 GY,2010,1.66,166
VOW3 GY,2009,1.99,199
VOW3 GY,2008,1.86,186
VOW3 GY,2007,1.31,131
VOW3 GY,2006,1.21,121
WKL NA,2025,1.5,150
WKL NA,2024,2.19,219
WKL NA,2023,1.9,190
WKL NA,2022,1.66,166
WKL NA,2021,1.43,143
WKL NA,2020,1.26,126
WKL NA,2019,1.03,103
WKL NA,2018,0.99,99
WKL NA,2017,0.8,80
WKL NA,2016,0.76,76
WKL NA,2015,0.89,89
WKL NA,2014,0.7,70
WKL NA,2013,0.69,69
WKL NA,2011,0.67,67
WKL NA,2010,0.66,66
WKL NA,2009,0.65,65
WKL NA,2008,0.64,64
WKL NA,2007,0.58,58
WKL NA,2006,0.55,55